species,total_length,weight
Stolo,79,3.02
Stolo,82,3.44
Stolo,84,3.61
Stolo,80,3.24
Stolo,79,3.12
Stolo,80,3.21
Stolo,75,2.79
Stolo,62,1.61
Stolo,88,4.1
Stolo,90,4.59
Stolo,88,4.82
Stolo,87,3.85
Stolo,88,4.05
Stolo,89,4.41
Stolo,83,3.67
Stolo,90,4.91
Stolo,82,3.37
Stolo,72,2.32
Stolo,83,3.67
Stolo,86,3.86
Stolo,87,4.6
Stolo,84,3.72
Stolo,85,3.85
Stolo,90,4.98
Stolo,85,2.78
Stolo,77,2.71
Stolo,85,3.78
Stolo,87,3.9
Stolo,82,3.41
Stolo,95,5.51
Stolo,75,2.52
Stolo,80,3.23
Stolo,80,3.5
Stolo,78,3.15
Stolo,78,2.5
Stolo,79,2.88
Stolo,80,2.25
Stolo,81,3.18
Stolo,80,3.18
Stolo,80,3.31
Stolo,90,5.01
Stolo,85,3.9
Stolo,83,3.62
Stolo,80,3.28
Stolo,82,4.31
Stolo,83,3.5
Stolo,90,4.75
Stolo,90,4.61
Stolo,91,5.1
Stolo,82,3.41
Stolo,82,3.39
Stolo,88,4.27
Stolo,85,3.77
Stolo,79,2.88
Stolo,79,3.25
Stolo,87,4.05
Stolo,88,4.36
Stolo,89,4.47
Stolo,83,3.78
Stolo,88,4.27
Stolo,82,3.66
Stolo,92,4.98
Stolo,90,4.84
Stolo,84,3.9
Stolo,82,3.57
Stolo,85,3.65
Stolo,86,3.92
Stolo,80,3.23
Stolo,80,2.94
Stolo,83,3.63
Stolo,80,3.44
Stolo,87,4.43
Stolo,88,2.87
Stolo,88,3
Stolo,91,5.08
Stolo,84,3.78
Stolo,76,2.75
Stolo,86,4.13
Stolo,80,3.43
Stolo,79,3.1
Stolo,81,3.54
Stolo,81,3.68
Stolo,85,4.04
Stolo,87,4.24
Stolo,83,3.34
Stolo,70,2.11
Stolo,75,2.62
Stolo,77,2.74
Stolo,74,2.57
Stolo,84,3.66
Stolo,89,3.11
Stolo,76,2.92
Stolo,84,3.53
Stolo,80,3.37
Stolo,77,3.03
Stolo,72,3.31
Stolo,81,3.34
Stolo,79,2.78
Stolo,84,3.68
Stolo,85,3.8
Stolo,88,4.18
Stolo,80,3.22
Stolo,82,3.41
Stolo,81,3.16
Stolo,80,3.04
Stolo,84,3.41
Stolo,81,3.51
Stolo,77,2.7
Stolo,81,3.26
Stolo,93,5.47
Stolo,81,3.39
Stolo,82,3.78
Stolo,77,3.09
Stolo,78,3.44
Stolo,80,3.32
Stolo,80,3.3
Stolo,79,2.85
Stolo,80,3.03
Stolo,81,3.38
Stolo,82,3.47
Stolo,84,3.94
Stolo,86,4.03
Stolo,78,2.96
Stolo,78,3.07
Stolo,85,3.81
Stolo,68,1.74
Stolo,78,2.91
Stolo,78,2.96
Stolo,81,3.33
Stolo,79,3.08
Stolo,75,2.52
Stolo,76,2.71
Stolo,82,3.65
Stolo,77,3.01
Stolo,80,3.69
Stolo,79,3.36
Stolo,79,3.69
Stolo,82,3.81
Stolo,80,3.62
Stolo,76,2.91
Stolo,83,3.71
Stolo,78,3.22
Stolo,80,3.41
Stolo,79,3.37
Stolo,74,2.67
Stolo,70,2.76
Stolo,75,2.91
Stolo,80,3.41
Stolo,82,3.95
Stolo,75,3.03
Stolo,73,2.73
Stolo,79,3.36
Stolo,86,4.2
Stolo,85,4.06
Stolo,78,2.7
Stolo,71,2.43
Stolo,79,3.36
Stolo,74,2.89
Stolo,79,3.23
Stolo,71,2.43
Stolo,68,2.12
Stolo,71,2.41
Stolo,74,2.76
Stolo,67,1.94
Stolo,73,2.59
Stolo,72,2.48
Stolo,72,2.3
Stolo,75,2.75
Stolo,71,2.09
Stolo,85,4.36
Stolo,83,3.87
Stolo,76,2.87
Stolo,81,3.58
Stolo,82,3.79
Stolo,75,2.76
Stolo,76,2.76
Stolo,76,2.61
Stolo,73,2.34
Stolo,70,2.03
Stolo,71,2.21
Stolo,80,3.21
Stolo,80,3.5
Stolo,75,2.66
Stolo,73,2.66
Stolo,84,3.93
Stolo,80,3.21
Stolo,88,4.48
Stolo,76,2.85
Stolo,86,3.32
Stolo,78,3.06
Stolo,77,3.06
Stolo,74,2.46
Stolo,80,3.48
Stolo,80,3.27
Stolo,87,4.41
Stolo,74,2.59
Stolo,82,3.91
Stolo,62,1.47
Stolo,74,2.48
Stolo,62,1.78
Stolo,70,2.04
Stolo,70,2.12
Stolo,71,2.35
Stolo,73,3.35
Stolo,80,3.57
Stolo,82,3.61
Stolo,88,4.22
Stolo,75,2.67
Stolo,85,4.03
Stolo,80,3.2
Stolo,82,3.76
Stolo,82,3.3
Stolo,75,2.37
Stolo,87,4.23
Stolo,85,4.03
Stolo,80,3.33
Stolo,76,2.63
Stolo,77,2.73
Stolo,80,3.09
Stolo,75,2.51
Stolo,85,3.52
Stolo,82,3.41
Stolo,80,3.41
Stolo,79,3.27
Stolo,72,2.19
Stolo,84,4.01
Stolo,70,2.18
Stolo,80,3.12
Stolo,81,3.38
Stolo,78,2.82
Stolo,75,2.82
Stolo,68,1.98
Stolo,75,2.8
Stolo,76,2.72
Stolo,80,3.07
Stolo,72,2.15
Stolo,73,2.83
Stolo,75,2.66
Stolo,77,2.56
Stolo,77,2.35
Stolo,72,2.32
Stolo,72,2.32
Stolo,70,2.13
Stolo,68,1.93
Stolo,75,2.64
Stolo,71,2.29
Stolo,75,2.82
Stolo,75,2.76
Stolo,68,1.93
Stolo,80,2.9
Stolo,75,2.45
Stolo,82,3.45
Stolo,78,2.91
Stolo,90,4.65
Stolo,70,1.8
Stolo,81,3.12
Stolo,80,3.1
Stolo,79,3.2
Stolo,87,4.03
Stolo,80,3.24
Stolo,83,3.64
Stolo,79,2.95
Stolo,70,1.97
Stolo,93,5.24
Stolo,78,2.78
Stolo,79,2.8
Stolo,75,2.4
Stolo,72,1.97
Stolo,81,3.37
Stolo,72,2.05
Stolo,75,2.34
Stolo,71,2.23
Stolo,80,2.98
Stolo,79,1.77
Stolo,58,1.14
Stolo,69,1.9
Stolo,73,2.17
Stolo,61,1.37
Stolo,75,2.5
Stolo,72,2.26
Stolo,74,2.51
Stolo,83,3.25
Stolo,72,2.08
Stolo,70,2.03
Stolo,90,4.2
Stolo,78,2.92
Stolo,75,2.36
Stolo,80,3.03
Stolo,75,2.53
Stolo,75,2.54
Stolo,81,3.05
Stolo,74,2.41
Stolo,80,3
Stolo,72,2.07
Stolo,78,2.67
Stolo,81,3.31
Stolo,71,2.08
Stolo,80,2.03
Stolo,75,2.48
Stolo,72,2.05
