lon,lat,year,temperature
-177,37,1990,0.790833316
-177,37,2020,0.361666659
-177,37,2021,1.141666641
-177,39,1990,0.76166665
-177,39,2020,0.329999993
-177,39,2021,1.139166641
-177,41,1990,0.573333321
-177,41,2020,0.354999992
-177,41,2021,1.107499975
-177,43,1990,0.297499993
-177,43,2020,0.357499992
-177,43,2021,0.919999979
-177,45,1990,0.190833329
-177,45,2020,0.364166659
-177,45,2021,0.748333317
-177,47,1990,0.142499997
-177,47,2020,0.439166657
-177,47,2021,0.57583332
-177,49,1990,0.16333333
-177,49,2020,0.559999987
-177,49,2021,0.584999987
-177,51,1990,0.534166655
-177,51,2020,1.398333302
-177,51,2021,1.416666635
-177,53,1990,0.796666649
-177,53,2020,2.008333288
-177,53,2021,1.982499956
-177,55,1990,0.364999992
-177,55,2020,1.236666639
-177,55,2021,1.003333311
-177,57,1990,0.454166657
-177,57,2020,1.533333299
-177,57,2021,1.099166642
-177,59,1990,0.354166659
-177,59,2020,1.750833294
-177,59,2021,1.161666641
-177,61,1990,0.072499998
-177,61,2020,1.861666625
-177,61,2021,1.154166641
-177,63,1990,0.13083333
-177,63,2020,2.016666622
-177,63,2021,1.052499976
-177,65,1990,0.194166662
-177,65,2020,2.377499947
-177,65,2021,0.763333316
-177,67,1990,0.368333325
-177,67,2020,2.342499948
-177,67,2021,0.422499991
-177,69,1990,0.420833324
-177,69,2020,2.419999946
-177,69,2021,0.455833323
-177,71,1990,0.507499989
-177,71,2020,2.527499944
-177,71,2021,0.527499988
-177,73,1990,0.614999986
-177,73,2020,2.623333275
-177,73,2021,0.604999986
-177,75,1990,0.769166649
-177,75,2020,2.744999939
-177,75,2021,0.714999984
-177,77,1990,1.095833309
-177,77,2020,2.9816666
-177,77,2021,1.02833331
-177,79,1990,1.416666635
-177,79,2020,3.287499927
-177,79,2021,1.369999969
-177,81,1990,1.509999966
-177,81,2020,3.42416659
-177,81,2021,1.609999964
-177,83,1990,0.91499998
-177,83,2020,3.796666582
-177,83,2021,3.72583325
-177,85,1990,0.91499998
-177,85,2020,3.796666582
