pressure,lon,lat,temp,anomaly
0,-155.5,-10.5,28.7298,1.825189788732395
0,-154.5,-10.5,28.7173,1.8126897887323956
0,-153.5,-10.5,28.7065,1.8018897887323924
0,-152.5,-10.5,28.6864,1.781789788732393
0,-151.5,-10.5,28.6446,1.7399897887323945
0,-150.5,-10.5,28.59,1.6853897887323939
0,-149.5,-10.5,28.5145,1.6098897887323957
0,-148.5,-10.5,28.4343,1.5296897887323944
0,-147.5,-10.5,28.3508,1.4461897887323936
0,-146.5,-10.5,28.2741,1.3694897887323947
0,-145.5,-10.5,28.2115,1.306889788732395
0,-144.5,-10.5,28.1609,1.2562897887323956
0,-143.5,-10.5,28.1143,1.209689788732394
0,-142.5,-10.5,28.07,1.1653897887323943
0,-141.5,-10.5,28.0265,1.1218897887323926
0,-140.5,-10.5,27.9682,1.0635897887323935
0,-139.5,-10.5,27.9,0.9953897887323926
0,-138.5,-10.5,27.8157,0.9110897887323937
0,-137.5,-10.5,27.7248,0.8201897887323923
0,-136.5,-10.5,27.6286,0.7239897887323927
0,-135.5,-10.5,27.531,0.6263897887323928
0,-134.5,-10.5,27.431,0.526389788732395
0,-133.5,-10.5,27.3287,0.42408978873239533
0,-132.5,-10.5,27.2276,0.3229897887323929
0,-131.5,-10.5,27.1266,0.22198978873239383
0,-130.5,-10.5,27.0266,0.12198978873239241
0,-129.5,-10.5,26.9308,0.026189788732395414
0,-128.5,-10.5,26.8425,-0.06211021126760485
0,-127.5,-10.5,26.761,-0.14361021126760676
0,-126.5,-10.5,26.6768,-0.22781021126760592
0,-125.5,-10.5,26.5856,-0.31901021126760654
0,-124.5,-10.5,26.4824,-0.4222102112676076
0,-123.5,-10.5,26.3728,-0.5318102112676044
0,-122.5,-10.5,26.2672,-0.637410211267607
0,-121.5,-10.5,26.1708,-0.7338102112676061
0,-120.5,-10.5,26.0806,-0.8240102112676055
0,-119.5,-10.5,25.9943,-0.9103102112676069
0,-118.5,-10.5,25.9098,-0.9948102112676054
0,-117.5,-10.5,25.8242,-1.0804102112676048
0,-116.5,-10.5,25.7303,-1.1743102112676063
0,-115.5,-10.5,25.6266,-1.2780102112676062
0,-114.5,-10.5,25.5044,-1.4002102112676056
0,-113.5,-10.5,25.3788,-1.5258102112676077
0,-112.5,-10.5,25.261,-1.6436102112676068
0,-111.5,-10.5,25.1535,-1.751110211267605
0,-110.5,-10.5,25.0637,-1.8409102112676052
0,-109.5,-10.5,24.9883,-1.9163102112676071
0,-108.5,-10.5,24.9124,-1.9922102112676043
0,-107.5,-10.5,24.8378,-2.0668102112676046
0,-106.5,-10.5,24.7594,-2.1452102112676066
0,-105.5,-10.5,24.6726,-2.232010211267607
0,-104.5,-10.5,24.5804,-2.324210211267605
0,-103.5,-10.5,24.4873,-2.417310211267605
0,-102.5,-10.5,24.3899,-2.514710211267605
0,-101.5,-10.5,24.2857,-2.6189102112676075
0,-100.5,-10.5,24.182,-2.7226102112676074
0,-99.5,-10.5,24.0752,-2.829410211267607
0,-98.5,-10.5,23.971800000000002,-2.932810211267604
0,-97.5,-10.5,23.8716,-3.033010211267605
0,-96.5,-10.5,23.7738,-3.1308102112676046
0,-95.5,-10.5,23.6792,-3.2254102112676044
0,-94.5,-10.5,23.5923,-3.3123102112676044
0,-93.5,-10.5,23.5047,-3.3999102112676063
0,-92.5,-10.5,23.4134,-3.4912102112676067
0,-91.5,-10.5,23.3267,-3.577910211267607
0,-90.5,-10.5,23.2278,-3.6768102112676075
0,-89.5,-10.5,23.1294,-3.7752102112676056
0,-88.5,-10.5,23.0036,-3.9010102112676073
0,-87.5,-10.5,22.8829,-4.021710211267607
0,-86.5,-10.5,22.7533,-4.151310211267607
0,-85.5,-10.5,22.6175,-4.287110211267606
0,-84.5,-10.5,22.4481,-4.456510211267606
0,-83.5,-10.5,22.2217,-4.6829102112676075
0,-82.5,-10.5,21.9069,-4.997710211267606
0,-81.5,-10.5,21.4997,-5.404910211267605
0,-80.5,-10.5,21.039,-5.8656102112676045
0,-79.5,-10.5,20.5911,-6.313510211267605
0,-78.5,-10.5,19.9119,-6.992710211267607
0,-35.5,-10.5,27.0792,0.17458978873239417
0,-34.5,-10.5,27.1324,0.22778978873239453
0,-33.5,-10.5,27.1427,0.2380897887323954
0,-32.5,-10.5,27.1077,0.20308978873239525
0,-31.5,-10.5,27.0413,0.13668978873239368
0,-30.5,-10.5,26.9505,0.04588978873239569
0,-29.5,-10.5,26.846800000000002,-0.05781021126760422
0,-28.5,-10.5,26.739,-0.16561021126760522
0,-27.5,-10.5,26.6332,-0.27141021126760734
0,-26.5,-10.5,26.53,-0.37461021126760485
0,-25.5,-10.5,26.4253,-0.479310211267606
0,-24.5,-10.5,26.3196,-0.5850102112676048
0,-23.5,-10.5,26.2153,-0.6893102112676068
0,-22.5,-10.5,26.1124,-0.792210211267605
0,-21.5,-10.5,26.0122,-0.892410211267606
0,-20.5,-10.5,25.9041,-1.0005102112676063
0,-19.5,-10.5,25.7849,-1.1197102112676056
0,-18.5,-10.5,25.6581,-1.246510211267605
0,-17.5,-10.5,25.5299,-1.3747102112676046
0,-16.5,-10.5,25.4117,-1.4929102112676063
0,-15.5,-10.5,25.3039,-1.6007102112676073
