date,village,port,ground,sex,dml,tl,weight,lat,lon
2018-01-23,Somanga,Mbuyuni,MWAMBA MKUU,F,12,108,1.715,-8.3926445,39.2815348
2018-01-01,Jibondo,WALANI,MCHANGA NYUMA,M,10,68,0.415,-7.9212189,39.666814
2018-02-17,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,14,92,1.465,-8.3978381,39.280793
2017-12-21,Songosongo,Pembeni,PWELA,F,7,44,0.38,-8.5257726,39.5082688
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,M,11,89,1.025,-7.9733438,39.7279197
2018-02-18,Jibondo,WALANI,MCHANGA NYUMA,F,9,65,0.3,-7.9191335,39.6653093
2018-02-05,Songosongo,Pembeni,PUPU,F,15,102,2.715,-8.5234063,39.5031224
2018-02-26,Bwejuu,Kusini,NYAMALILE,F,16.5,138,3.3,-7.9160826,39.6542357
2018-01-14,Songosongo,Pembeni,IMBI,F,11,93,0.67,-8.5232831,39.5029609
2018-01-17,Songosongo,FUNGUNI,BANYANI,M,15,103,1.56,-8.5137787,39.4953347
2017-12-27,Bwejuu,Kusini,NYAMALILE,M,19.5,149,3.155,-6.7413759,39.1681849
2018-02-03,Somanga,Mbuyuni,MWAMBA JAHAZI,F,16,83,0.592,-8.3913543,39.2854286
2018-01-31,Somanga,Mbuyuni,BANDA MRIMA,F,17,119,2.1,-8.3911159,39.2851041
2018-01-22,Somanga,Mbuyuni,PWAYASI,M,17,103,2,-8.3916141,39.2808858
2017-12-27,Jibondo,WALANI,MCHANGA NYUMA,F,10,77,0.655,-6.7418302,39.1662344
2018-01-17,Jibondo,WALANI,MCHANGA NYUMA,M,8.5,69,0.45,-7.9734177,39.7280679
2018-02-18,Jibondo,WALANI,LWALA,F,9,56,0.4,-7.9755308,39.7501156
